,n_trees,max_depth,n_estimators,subportion,n_samples,n_runs,mean_prediction,variance_prediction
50,20,3,80,0.7,26,20,"tf.Tensor(
[[0.03137157]
 [0.03137157]
 [0.03137157]
 ...
 [9.92473   ]
 [9.92473   ]
 [9.92473   ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11286882]
 [0.11286882]
 [0.11286882]
 ...
 [0.23269776]
 [0.23269776]
 [0.23269776]], shape=(1700, 1), dtype=float32)"
51,20,3,80,0.7,80,35,"tf.Tensor(
[[0.06263047]
 [0.06263047]
 [0.06263047]
 ...
 [9.945971  ]
 [9.945971  ]
 [9.945971  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.09372938]
 [0.09372938]
 [0.09372938]
 ...
 [0.21641777]
 [0.21641777]
 [0.21641777]], shape=(1700, 1), dtype=float32)"
52,20,3,80,0.7,40,35,"tf.Tensor(
[[0.03953885]
 [0.03953885]
 [0.03953885]
 ...
 [9.953297  ]
 [9.953297  ]
 [9.953297  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11743037]
 [0.11743037]
 [0.11743037]
 ...
 [0.2481275 ]
 [0.2481275 ]
 [0.2481275 ]], shape=(1700, 1), dtype=float32)"
53,20,3,80,0.7,26,35,"tf.Tensor(
[[0.02741212]
 [0.02741212]
 [0.02741212]
 ...
 [9.96883   ]
 [9.96883   ]
 [9.96883   ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.12539685]
 [0.12539685]
 [0.12539685]
 ...
 [0.22307283]
 [0.22307283]
 [0.22307283]], shape=(1700, 1), dtype=float32)"
54,20,5,30,0.5,30,10,"tf.Tensor(
[[-0.6714428]
 [-0.6714428]
 [-0.6714428]
 ...
 [ 8.953858 ]
 [ 8.953858 ]
 [ 8.953858 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11827227]
 [0.11827227]
 [0.11827227]
 ...
 [1.2589794 ]
 [1.2589794 ]
 [1.2589794 ]], shape=(1700, 1), dtype=float32)"
55,20,5,30,0.5,15,10,"tf.Tensor(
[[-0.7096077]
 [-0.7096077]
 [-0.7096077]
 ...
 [ 8.755432 ]
 [ 8.755432 ]
 [ 8.755432 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.14968768]
 [0.14968768]
 [0.14968768]
 ...
 [1.1331172 ]
 [1.1331172 ]
 [1.1331172 ]], shape=(1700, 1), dtype=float32)"
56,20,5,30,0.5,10,10,"tf.Tensor(
[[-0.7492032]
 [-0.7492032]
 [-0.7492032]
 ...
 [ 8.809832 ]
 [ 8.809832 ]
 [ 8.809832 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13470405]
 [0.13470405]
 [0.13470405]
 ...
 [0.90121347]
 [0.90121347]
 [0.90121347]], shape=(1700, 1), dtype=float32)"
57,20,5,30,0.5,30,20,"tf.Tensor(
[[-0.6904032]
 [-0.6904032]
 [-0.6904032]
 ...
 [ 8.727864 ]
 [ 8.727864 ]
 [ 8.727864 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1428379 ]
 [0.1428379 ]
 [0.1428379 ]
 ...
 [0.88399166]
 [0.88399166]
 [0.88399166]], shape=(1700, 1), dtype=float32)"
58,20,5,30,0.5,15,20,"tf.Tensor(
[[-0.69104636]
 [-0.69104636]
 [-0.69104636]
 ...
 [ 8.881878  ]
 [ 8.881878  ]
 [ 8.881878  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13404323]
 [0.13404323]
 [0.13404323]
 ...
 [0.8966822 ]
 [0.8966822 ]
 [0.8966822 ]], shape=(1700, 1), dtype=float32)"
59,20,5,30,0.5,10,20,"tf.Tensor(
[[-0.6750848]
 [-0.6750848]
 [-0.6750848]
 ...
 [ 8.510035 ]
 [ 8.510035 ]
 [ 8.510035 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1499684 ]
 [0.1499684 ]
 [0.1499684 ]
 ...
 [0.75271755]
 [0.75271755]
 [0.75271755]], shape=(1700, 1), dtype=float32)"
60,20,5,30,0.5,30,35,"tf.Tensor(
[[-0.74267447]
 [-0.74267447]
 [-0.74267447]
 ...
 [ 8.630186  ]
 [ 8.630186  ]
 [ 8.630186  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10331588]
 [0.10331588]
 [0.10331588]
 ...
 [1.0163465 ]
 [1.0163465 ]
 [1.0163465 ]], shape=(1700, 1), dtype=float32)"
61,20,5,30,0.5,15,35,"tf.Tensor(
[[-0.7212193]
 [-0.7212193]
 [-0.7212193]
 ...
 [ 8.594485 ]
 [ 8.594485 ]
 [ 8.594485 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13836825]
 [0.13836825]
 [0.13836825]
 ...
 [0.9078294 ]
 [0.9078294 ]
 [0.9078294 ]], shape=(1700, 1), dtype=float32)"
62,20,5,30,0.5,10,35,"tf.Tensor(
[[-0.74643356]
 [-0.74643356]
 [-0.74643356]
 ...
 [ 9.084257  ]
 [ 9.084257  ]
 [ 9.084257  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.15028052]
 [0.15028052]
 [0.15028052]
 ...
 [1.1888692 ]
 [1.1888692 ]
 [1.1888692 ]], shape=(1700, 1), dtype=float32)"
63,20,5,30,0.7,30,10,"tf.Tensor(
[[-0.75998634]
 [-0.75998634]
 [-0.75998634]
 ...
 [ 8.222223  ]
 [ 8.222223  ]
 [ 8.222223  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.09101555]
 [0.09101555]
 [0.09101555]
 ...
 [0.9657628 ]
 [0.9657628 ]
 [0.9657628 ]], shape=(1700, 1), dtype=float32)"
64,20,5,30,0.7,15,10,"tf.Tensor(
[[-0.81383634]
 [-0.81383634]
 [-0.81383634]
 ...
 [ 8.088162  ]
 [ 8.088162  ]
 [ 8.088162  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13310504]
 [0.13310504]
 [0.13310504]
 ...
 [0.8350066 ]
 [0.8350066 ]
 [0.8350066 ]], shape=(1700, 1), dtype=float32)"
65,20,5,30,0.7,10,10,"tf.Tensor(
[[-0.7642327]
 [-0.7642327]
 [-0.7642327]
 ...
 [ 8.493082 ]
 [ 8.493082 ]
 [ 8.493082 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.07483756]
 [0.07483756]
 [0.07483756]
 ...
 [1.2186527 ]
 [1.2186527 ]
 [1.2186527 ]], shape=(1700, 1), dtype=float32)"
66,20,5,30,0.7,30,20,"tf.Tensor(
[[-0.7961581]
 [-0.7961581]
 [-0.7961581]
 ...
 [ 8.3079605]
 [ 8.3079605]
 [ 8.3079605]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10459028]
 [0.10459028]
 [0.10459028]
 ...
 [0.9802097 ]
 [0.9802097 ]
 [0.9802097 ]], shape=(1700, 1), dtype=float32)"
67,20,5,30,0.7,15,20,"tf.Tensor(
[[-0.7777186]
 [-0.7777186]
 [-0.7777186]
 ...
 [ 8.203055 ]
 [ 8.203055 ]
 [ 8.203055 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11775105]
 [0.11775105]
 [0.11775105]
 ...
 [1.107622  ]
 [1.107622  ]
 [1.107622  ]], shape=(1700, 1), dtype=float32)"
68,20,5,30,0.7,10,20,"tf.Tensor(
[[-0.7727451]
 [-0.7727451]
 [-0.7727451]
 ...
 [ 8.155164 ]
 [ 8.155164 ]
 [ 8.155164 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11943232]
 [0.11943232]
 [0.11943232]
 ...
 [0.8163957 ]
 [0.8163957 ]
 [0.8163957 ]], shape=(1700, 1), dtype=float32)"
69,20,5,30,0.7,30,35,"tf.Tensor(
[[-0.78968114]
 [-0.78968114]
 [-0.78968114]
 ...
 [ 8.27517   ]
 [ 8.27517   ]
 [ 8.27517   ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10197146]
 [0.10197146]
 [0.10197146]
 ...
 [0.8754744 ]
 [0.8754744 ]
 [0.8754744 ]], shape=(1700, 1), dtype=float32)"
